titulo;provincia;fecha_publicacion;descripcion;provinciaalternativa;fuentecontenido;idlocalidad;localidad;latitud;longitud;codigo_localidad;identificador;actualizacionmetadatos;enlace_al_contenido;posicion
JEFES DE EQUIPO EN TALLER ELECTROMECÁNICO;León;2023-10-26;"<p>JEFE DE EQUIPO EN TALLER ELECTROMECÁNICO
ELECTROMECÁNICO CON EXPERIENCIA SUFICIENTE PARA ELECTRODIAGNOSIS CAJAS DE CAMBIO Y MOTORES
LIDERAR EQUIPO</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=321038'>Oficina Virtual</a></p>";;ECYL;1179297839879;Fabero;42.770725;-6.622292;24;1285327199895;2023-10-26;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285327199895/Empleo;42.770724999059496, -6.622292000000001
CONDUCTORES DE CAMIÓN CON REMOLQUE Y/O DE TRACTOCAMIÓN;Soria;2023-10-26;"<p>GARCÍA MAQUINARIA S.L.,precisa ocupar un puesto de CONDUCTOR DE VEHÍCULO PESADO ARTICULADO C+E en la localidad de Almazán (Soria).
Deberá realizar las funciones de recogiday entregade vehículos agrícolas, incluyendo su carga, descarga y puesta en marcha.
Se oferece contrato indefinido, jornada completa, radio de trabajo de pocos kilómetros no siendo necesario pernoctar fuera.
Se requiere experiencia en la ocupación, permiso de conducir C+E y cursos propios del permiso.
Interesados enviar currículum vitae a la dirección de correo electrónico ecylalmazan@jcyl.es, indicando en el asunto 'oferta 20037'.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320955'>Oficina Virtual</a></p>";;ECYL;1179469107806;Almazán;41.485928;-2.5331845;42;1285327158015;2023-10-26;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285327158015/Empleo;41.485927999063655, -2.5331844999999995
EMPLEADOS ADMINISTRATIVOS, EN GENERAL;Zamora;2023-10-25;<p>Enviar CV: trabajobte@gmail.com</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320923'>Oficina Virtual</a></p>;;ECYL;1179469338450;Benavente;42.002884;-5.678469;49;1285326677232;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326677232/Empleo;42.002883999061766, -5.678469000000001
INGENIEROS DE PROYECTOS;Zamora;2023-10-24;"<p>Oferta Nº 19998 de INGENIERO DE PROYECTOS para Zamora.
Los interesados deben enviar el cv a ecyldoctorfleming.ofertas@jcyl.es (indicando en el asunto el número de la oferta).
Funciones: Bajo la dirección y supervisión de un técnico senior se formará y trabajará en diferentes fases de proyectos. Tanto en aquellos relacionados con el ciclo integral del agua como en otras especialidades de la obra civil como proyectos de urbanización, carreteras, etc.
Condiciones: Se realizará fundamentalmente el trabajo de oficina, si bien y en función de las necesidades de los proyectos se realizarán trabajos de campo. Jornada completa de mañana y tarde de lunes a jueves y viernes de mañana. Duración 6 meses.
Requisitos: Grado en Ingeniería o Ingeniero/Arquitecto Técnico. Experiencia en puestos similares. Excel a nivel medio. Permiso de conducir B.
Otros: Se valorará conocimientos de CAD, EPANET, PRESTO y otros programas técnicos.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320916'>Oficina Virtual</a></p>";;ECYL;1179469491795;Zamora;41.507324;-5.745313;49;1285326498948;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326498948/Empleo;41.507323999063566, -5.745313000000001
MANTENEDORES DE EDIFICIOS;Valladolid;2023-10-24;"<p>TALLERES METALICOS MANSO., ha presentado una oferta de empleo para la contratación de un REPARADOR DE MANTENIMINETO DEL HOGAR para Íscar (Valladolid).
Funciones:
? Mantenimiento y reparación del hogar (carpintería metálica, persianas, toldos y cerrajería).
Se ofrece:
?Contrato indefinido
?Jornada completa de lunes a viernes
Las personas interesadas deberán de enviar Currículum Vitae a: metalicasmanso@gmail.com o concertar entrevista en el 676845252</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320897'>Oficina Virtual</a></p>";;ECYL;1179469259367;Iscar;41.36359;-4.532956;47;1285326465254;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326465254/Empleo;41.36358999906415, -4.5329559999999995
TÉCNICOS EN CALDERERÍA;Palencia;2023-10-24;"<p>Contrato indefinido a jornada completa.
Teléfono y vehículo de empresa para desplazamientos necesarios.
El trabajo consistirá en hacer revisiones periódicas de calderas domésticas, limpiandolas y realizando los trabajos pertinentes en cada visita.
Reparar cuando sea necesario dichas calderas.
Revisar las instalaciones de calefacción.
Realizar trabajos tales como cambiar llaves, instalar calderas , etc cuando sea necesario.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320860'>Oficina Virtual</a></p>";;ECYL;1179298103860;Palencia;42.01112;-4.532032;34;1285326359379;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326359379/Empleo;42.01111999906173, -4.532032000000001
TÉCNICOS EN ESTUDIOS DE MERCADO Y OPINIÓN PÚBLICA(MARKETING);León;2023-10-24;"<p>TÉCNICO DE MARKETING, con experiencia mínima de 2 años
CONTRATO INDEFINIDO / JORNADA COMPLETA
Graduados en Marketing, Publicidad y Relaciones Públicas, Comunicación o FP Superior en Diseño Gráfico, web y multimedia. 
Valorables formación de posgrado, así como otras titulaciones y estudios.
Conocimiento avanzado de ofimática (Microsoft Office 365).
Inglés.
INTERESADOS QUE CUMPLAN CON LOS REQUISITOS, LLAMAR AL 987 249530 (SECCIÓN DE OFERTAS - OFICINA DE EMPLEO DE LEÓN CENTRO)</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320872'>Oficina Virtual</a></p>";;ECYL;1179297860755;León;42.59873;-5.5670958;24;1285326359323;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326359323/Empleo;42.59872999905995, -5.5670958
AUXILIARES DE ENFERMERÍA DE GERIATRÍA;Segovia;2023-10-24;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320849'>Oficina Virtual</a></p>;;ECYL;1179298428248;Cuéllar;41.401096;-4.314916;40;1285326312217;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326312217/Empleo;41.401095999064005, -4.314915999999999
COCINEROS, EN GENERAL;Ávila;2023-10-24;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=318874'>Oficina Virtual</a></p>;;ECYL;1179297247664;Navaluenga;40.41096;-4.707685;05;1285326312161;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326312161/Empleo;40.410959999068595, -4.707685
Personal terraza y barra;Salamanca;2023-10-24;"Se necesita <strong>PERSONAL </strong>con experiencia en terraza y barra.
<p>Interesados enviar currículum a <strong>675806196.</strong></p>
<p>Información procedente de:<strong> 'La Gaceta de salamanca'</strong></p>";;Internet / Prensa;;;;;;1285326280927;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326280927/Empleo;
