"website","url","title","description","location","company","experience","worktype","industry","function","publish_date","insert_date"
linkedin,https://es.linkedin.com/jobs/view/t%C3%A9cnicos-power-bi-java-microservicios-at-cas-training-2548552970,Técnicos Power BI Java Microservicios,"Técnicos Power BI Java MicroserviciosPerfil mixto con habilidades de Gestión de incidencias críticas y Gestión de Problemas, con habilidades de reporting y comunicativas, realizará guardias rotativas 24x7.Servicio de soporte a la producción de plataforma de servicios a grandes empresas, en crecimiento y que requiere el soporte y gestión de incidencias críticas en entorno productivo.Técnicos: PowerBi (Construcción de informes/KPIs/SLAs), Excel usuarios avanzado, Java 11, Spring Framework, Microservicios (desarrollo, patrones de diseño..),Base de datos (Postgres), OpenshiftOtras habilidades: Experiencia en la gestión de incidencias (1 año min)con múltiples capas tecnológicas y otros interlocutores involucrados , Proactividad, comprometido, capacidad de adaptaciónHabilidades de negociación y habilidades de comunicación en diferentes ámbitos.Inglés habladoUbicación: Madrid",Madrid y alrededores,CAS TRAINING,Algo de responsabilidad,Jornada completa,"Servicios y tecnologías de la información ,Software,Desarrollo de programación",Tecnología de la información,2021-05-18 12:42:20,2021-05-18 12:00:00
linkedin,https://es.linkedin.com/jobs/view/enfermera-titulada-at-centro-m%C3%A9dico-de-asturias-2548552977,Enfermera titulada,Enfermera. Centro Médico de Asturias.Desde 29.000€ brutos anuales + noches y festivos+ Especialidad según Convenio.Hospitalizaciónhttps://t.co/JHXOLbZZm3Urgenciashttps://t.co/BVcxvIKkqQHemoterapiahttps://t.co/Rp6mTaO6t1,"Oviedo, Principado de Asturias, España",Centro Médico de Asturias,,Jornada completa,,,2021-05-18 12:41:30,2021-05-18 12:00:00
linkedin,https://es.linkedin.com/jobs/view/arquitecto-de-soluciones-web-at-civir-2548551294,Arquitecto de Soluciones Web,"En CIVIR, buscamos un perfil de Arquitecto Senior con experiencia en servidores web y servidores de aplicación para transformarlos en servicio AKS dentro de uno de nuestros principales clientes del sector financiero. Requisitos:Experiencia de al menos 4 años en servidores web (apache, IHS, IIS)Experiencia del amenos 4 años en servidores de aplicación (websphere, jboss, tomcat, weblogic).Experiencia en cloud pública: Azure y AWS*Importante:Buena actitud, proactividad.Por nuestra parte, ¿Qué ofrecemos?:Contratación indefinida y estable desde el primer momento.Consideramos muy importante la formación y el crecimiento de nuestros empleados. Por ello, te apoyaremos en las necesidades formativas que tengas y te acompañaremos en la consecución de tus logros profesionales.Nos intentamos adaptar a tus necesidades para lograr que el cambio de trabajo sea lo más óptimo posible.Contamos con un paquete de beneficios sociales para facilitarte el día a día, que podrás escoger según tus necesidades.Te damos la posibilidad de dar clases inglés con nuestra profesora de inglés nativa, totalmente gratuitas.Tanto en la incorporación como en el día a día, estarás siempre acompañado por el EQUIPO HUMANO de Civir.Nos gusta trabajar de forma totalmente personalizada con cada uno de los empleados que componen CIVIR.","Madrid, Comunidad de Madrid, España",CIVIR,,Jornada completa,,,2021-05-18 12:40:39,2021-05-18 12:00:00
linkedin,https://es.linkedin.com/jobs/view/operations-controller-beca-at-garaje-de-ideas-2555016994,Operations Controller (beca),"Lo que buscamos es…Una persona que se una a nuestro equipo con un rol de Operations Controller mediante una beca remunerada, de manera que pueda formarse y apoyar a nuestro área de operaciones, cuyas responsabilidades más importantes son velar y apoyar los objetivos estratégicos de compañía, convirtiéndolos en KPIs medibles, generar y analizar reportes financieros y de ocupación, y auditar y mejorar los procesos.Buscamos a una persona metódica, sin miedo al riesgo y al error, y que venga con ganas de aprenderlo todo sobre el control de gestión y crezca con nuestra guía y acompañamiento.Y en concreto, esto es lo que harás:Recolectar, procesar y analizar datos de ocupación del equipo, de margen, de rentabilidad de los proyectos, que ayuden a la dirección a tomar decisiones de compañía.Ayudar a generar y controlar KPIs que reflejen los objetivos estratégicos de Garaje: rentabilidad, rotación, ocupación, avance, etc.Aplicar la inteligencia operativa y ser capaz de proponer soluciones y planes de mejora y optimización, eficientar el trabajo, etc.Dar apoyo en la generación y el envío de propuestas y ofertas a los clientes.Tener el ownership de la herramienta de control que usamos, haciendo seguimiento de la imputación de horas, reflejando la asignación correcta de proyectos, llevando el pulso de la ocupación de las personas que trabajan en la compañía…Mantenerte al día de las licitaciones a proyectos que van saliendo, de forma que elijamos a cuáles vamos a optar.Preparar, recolectar, elaborar y subir los documentos necesarios para optar a licitaciones de proyectos a las que se elija ir. Apoyar a Leads en algunas tareas administrativas de la gestión de los proyectos y las propuestas comerciales.Apoyar en la gestión de las bonificaciones de I+D+i a la seguridad social.Para eso, necesitamos que:Tengas estudios relacionados con empresa, administración, finanzas, derecho o, más específicamente, control de gestión.Manejes Excel o Google Sheets como un ninja maneja la espada (o mejor). Si cuando piensas lo haces en filas, columnas, fórmulas y macros, eres la persona que buscamos.Puedas incorporarte a 30 o 40 horas semanales.Estés en Madrid. Queremos poder acompañarte de cerca en tu aprendizaje, sobre todo al principio.Y sería genial que también:Supieras desenvolverte en inglés.Manejases otras herramientas de análisis y/o visualización de datos como AirTable, Data Studio, Power BI, Google Sheets, etc.Y de organización del tiempo, como Trello, Notion o similares.Tuvieses inquietud por aprender e investigar sobre nuevas herramientas que eficienten alguna parte del trabajo o mejoren a las actuales, ¡aquí nada está escrito en piedra y nos encantará escuchar tus aportaciones!Para este rol nos gustan las personas que:Son organizadas y metódicas. Saben que la organización lleva a la excelencia operativa e irradian orden. Marie Kondo de la gestión, ¡ven a nosotros!Aún estando en periodo de aprendizaje, son autónomas, buscan la forma de resolver las dudas del día a día y saben gestionar su tiempo para cumplir con sus tareas. Son exigentes consigo mismas y están constantemente en proceso de mejora. Por tanto, se toman el feedback como un regalo que les ayuda en su crecimiento.Cuestionan y analizan ideas para resolver problemas. Asumen el ownership de sus proyectos, no dicen “esto no es mi problema” y van más allá.Son flexibles, asumen y abrazan el cambio, y son capaces de pivotar y abandonar viejas ideas.No esperan resolver todo a la primera ni de forma perfecta y son capaces de asumir riesgos y enfrentarse al error.Así nos gusta trabajar:La excelencia es nuestro mantra vital: desde el primer “hola” con el cliente hasta el delivery. Somos product makers; ni thinkers, ni speakers, ni gurús. Aterrizamos las soluciones que diseñamos, no vendemos humo. Nos gusta tomar riesgos, explorar y experimentar. Y el error está permitido.Y las ventajas con las que contarás son:Trabajar en un entorno de alto crecimiento con equipos multidisciplinares de Diseño, Data y Tecnología, y crear experiencias, servicios y productos con impacto para grandes clientes.Beca remunerada con 750€/mes, con posibilidad de quedarte si tienes un buen desempeño.23 días de vacaciones al año y festivos regionales para que descanses y desconectes.Modelo de trabajo híbrido remoto/presencial, aunque necesitamos que vivas en Madrid.Café, te, fruta y zumo de naranja gratis en la ofi. ¡Aquí quien se resfría es porque quiere!Bono de 500€ para que te formes, para que aprendas idiomas, para que compres libros o para acudir a eventos del sector.Programa muy amplio de formación interna, que abarca todas las disciplinas que tenemos en Garaje: Diseño, Data y Tecnología.Biblioteca común con posibilidad de pedir libros nuevos cada mes y servicio de préstamo.Eventos y dinámicas frecuentes para compartir conocimiento y aprendizajes de los proyectos. Y como nos gusta pasar tiempo juntos, de vez en cuando hacemos eventos más informales.Cultura de la transparencia: cada pocos meses actualizamos sobre la situación y objetivos de compañía en un All Hands y presentamos novedades.Incentivo por traer nuevos clientes a Garaje.Vístete como quieras, a no ser que hagamos una fiesta de disfraces ;)¿Qué pasará ahora?Si te suena bien, haz click en “solicitar”, ¡estamos esperando tu candidatura con ganas!Si tu perfil encaja con lo que estamos buscando, nos pondremos en contacto contigo pronto para coordinar una primera llamada telefónica de acercamiento. Si avanzas, conocerás a personas del equipo de Operaciones.","Madrid, Comunidad de Madrid, España",Garaje de Ideas,Prácticas,Jornada completa,"Servicios y tecnologías de la información ,Diseño,Desarrollo de programación","Administración,Gestión",2021-05-18 12:38:48,2021-05-18 12:00:00
linkedin,https://es.linkedin.com/jobs/view/sr-product-manager-at-amazon-2541750090,Sr Product Manager,"DescriptionAmazon’s South Europe Fresh team is looking for an exceptionally motivated and talented Sr Customer Insights Product Manager (m/f/d) with strong customer obsession and relentless focus on improving the customer experience. This role can be based in Spain or Italy.Are you analytically sharp, keen to make a difference? Would you love to take on the challenge to drive customer demand for some of Amazon’s most diverse and challenging product categories? Do you have a passion for diving deep to uncover key insights that drive critical business and customer experience decisions? We are searching for a talented Sr Product Manager who is curious, driven, and passionate about data, insights and analytics as a key lever to moving the needle. You will become part of the wider Product Management team supporting the Fresh teams across Spain, Italy and France. This role exists in a challenging environment with responsibility for three countries, within a fast-growing office.As a Sr Customer Insights Product Manager you will help us make effective decisions based on data from multiple sources, compiling it and triangulating it into a digestible and actionable format. In this highly visible role, you will use and create reports to analyze data, make sense of the results and be able to explain what it all means to key stakeholders. You will analyze large amounts of data, discover and solve complex business problems and build metrics and business cases around key performance of the business. By combining your findings with qualitative research you can develop an even deeper and holistic understanding of customer behavior. The ideal candidate will use a customer backwards approach in deriving insights and proactively identifying actions we can take to improve the customer experience and conversion.Scope Work as a business partner with marketing, finance and category teams in order to tackle customer-related business challenges and evaluate marketing performance with a data driven approach. Leverage marketing and customer reporting tools to generate customer insights that can be used by the marketing team and key stakeholders. Analyze data and perform root cause analyses to understand customer behavior and engagement while leveraging ETL and SQL when necessary. Partner with your teammates and relevant stakeholders to combine the generated data with external and qualitative data from market research and marketing agencies to understand and explain the “Why” of customer behavior. Own and execute end-to-end analysis including scoping, design, data collection, data analysis, creation of recommendations and presentation of results to senior leadership. Conceptualize and run analyses that generate insights on customer behavior and customer needs to help further develop and improve our value proposition and marketing strategy. Provide an insightful interpretation of results, pro-actively generate ideas, formulate and communicate recommendations that drive action. This way, enable the marketing team to improve the customer experience and our customer relationship management (acquisition, engagement and reactivation). Lead strategic research using primary, secondary and syndicated data sources to generate insights on customer behavior and customer needs to help further develop and improve our value proposition and marketing strategy.The ability to identify and scope a problem, formulate relevant questions, draw relevant data and provide insights from the data is critical for the role. The ideal candidate (f/m/d) would also have an excellent business acumen to be able to interpret the data in context, a restlessness to answer “why?” questions, excellent analytical abilities, strong technical skills and excellent written and verbal communication skills.For This Position, We ExpectBASIC QUALIFICATIONS This position requires a Bachelor’s degree in mathematics, statistics, operational research, economics or related quantitative discipline. Multiple years of relevant employment experience. Proficient in SQL and building data visualizations in Excel, Quicksight, and/or Looker. Experience with statistical modelling and analysis (applied statistics, predictive analytics, and mixed methodology research) Solid communication skills and team player. Capable of investigating, familiarizing and mastering new data sets quickly. Strong troubleshooting and problem solving skills. Ability to display complex quantitative data in a simple, intuitive format and to present findings in a clear and concise manner. Desire to work in a fast-paced, highly ambiguous entrepreneurial culture. Strong drive for results and ability to take calculate risks. Ability to work in a diverse teamFurther Qualifications Would Be a PlusPREFERRED QUALIFICATIONS Several years of relevant experience in a business analyst, data analyst or statistical analysis role. Advanced technical or business degree (MS or MBA). Experience with large-scale datasets. Experience in developing requirements and formulating business metrics for reporting, familiarity with data visualization tools, e.g. Tableau/Quicksight. Familiarity with AWS & redshift environment. Knowledge of data warehousing concepts.Are you interested? We look forward to receiving your application. Please submit your online application including your CV and covering letter in English.Company - Amazon EU SARL (Spain Branch)Job ID: A1554239","Madrid, Comunidad de Madrid, España",Amazon,Intermedio,Jornada completa,"Software,Servicios y tecnologías de la información ,Internet","Gestión de proyectos,Gestión,Gestión de productos",2021-05-18 12:37:58,2021-05-18 12:00:00
linkedin,https://es.linkedin.com/jobs/view/innovation-manager-at-aev-agencia-de-escaparatismo-y-visual-2541749163,Innovation Manager,Innovation Brand Manager,Barcelona y alrededores,AEV Agencia de Escaparatismo y Visual,,Jornada completa,,,2021-05-18 12:37:06,2021-05-18 12:00:00
linkedin,https://es.linkedin.com/jobs/view/t%C3%A9cnico-de-laboratorio-at-laboratorio-2555019679,Técnico de laboratorio,"Persona resolutiva, organizada, con buena actitud, ganas de seguir formándome","Cáceres, Extremadura, España",Laboratorio,,Jornada completa,,,2021-05-18 12:37:15,2021-05-18 12:00:00
linkedin,https://es.linkedin.com/jobs/view/independent-real-estate-professional-at-iad-espa%C3%B1a-2555020374,Independent Real Estate Professional,"Buscamos personas que quieran desarrollar su propia red de agentes inmobiliarios internacional.En iad España (filial del grupo iad Internacional), estamos buscando emprendedores inmobiliarios autónomos, con ganas de embarcarse en un proyecto diferente y más justo.Si buscas un proyecto laboral que cambie tu vida.Que te ayude a desarrollarte profesionalmente y crear un patrimonio con valor internacional.Una oportunidad de emprender en el sector inmobiliaria sin costes altos.Si buscas un proyecto más humano y justo.Esta es tu oportunidad: Emprende con iad y cambia de vida.﻿iad nació en 2008 en Francia con el objetivo de crear una nueva generación de red inmobiliaria, un modelo que pone a las personas en centro de su negocio, con una clara orientación al cliente, mercado y por supuesto al agente inmobiliario.Somos la nueva generación de red inmobiliaria: internacional, profesional, innovadora y colaborativa. Un modelo en expansión que conquista por su proximidad, su carácter innovador, su base tecnológica y el poder de la colaboración.Actualmente operamos en Francia, Portugal, Italia y España, siendo iad Francia la primera red inmobiliaria del país.","Zaragoza, Aragón, España",IAD España,Algo de responsabilidad,Contrato por obra,Bienes inmobiliarios,"Ventas,Gestión",2021-05-18 12:37:25,2021-05-18 12:00:00
linkedin,https://es.linkedin.com/jobs/view/senior-sales-manager-at-pqe-group-2548555653,Senior Sales Manager,"With more than 900 employees and 26 subsidiaries all over the world (Europe, Asia and the Americas), PQE Group is a Quality and Compliance Consulting Services Company, leader for the Pharmaceutical, Consumer and Medical Device sectors - with global capabilities deliverable throughout the entire product quality life cycle (visit our website for more info www.pqegroup.com)Joining PQE means taking part of a fast-paced, ever-changing environment in which you will be involved in important projects and always in contact with main national and international Companies.Due to our constant growth, we are looking for a new Senior Sales Manager to join our dynamic, diverse and ambitious team in Madrid.As a Senior Sales Manager, you will identify new business opportunities within both Spanish and LATAM markets by working and collaborating with colleagues and external clients from all over the World, in coordination with the Headquarters. Responsabilities:Research and identify strategically new business opportunities - including new markets, growth areas, trends, customers and partnershipsFoster and develop relationships with customers/clients in order to understand their needs and be able to respond effectively with a plan of how to meet theseCarry out sales forecasts and analysis Overseeing the activities and performance of the sales teamAttend seminars, conferences and events where appropriateKeep abreast of trends and changes in the business worldEnsure sales campaign follows organizational guidelinesRequirements:Bachelor degree in Business or related fieldPrevious experience in selling Life Science servicesExperience in customer relationship management and planning strategiesExcellent written and verbal communication skills.Dedication to providing great customer service.English and Spanish language proficiencyAvailability to travel within Spain and abroad Our collaborators are engaged, developed, challenged and well-rewarded for performance.We recognize the importance of leadership at all levels of our organization in order to succeed in a challenging business environment, and we are committed to providing practical processes and programs to identify, develop and inspire all our current and future leaders. ","Madrid, Comunidad de Madrid, España",PQE Group,Intermedio,Jornada completa,Industria farmacéutica,"Ventas,Desarrollo empresarial",2021-05-18 12:36:31,2021-05-18 12:00:00
linkedin,https://es.linkedin.com/jobs/view/analista-cobol-microfocus-at-cas-training-2548555649,Analista Cobol/Microfocus,"Analista Cobol/MicrofocusCon conocimientos en entornos Cobol - Microfocus - Oracle, con capacidad de análisis y desarrollo de solicitudes de trabajo.Conocimientos en Arquitectura PartenónConocimientos imprescindibles: Lenguaje COBOL entorno Microfocus/ORACLEConocimientos deseables:	Arquitectura PartenónConocimientos funcionales en el área de Pagos y Medios de PagoMetodología de Trabajo: WaterfallUbicación: Cáceres, Madrid, Salamanca o Zaragoza",Madrid y alrededores,CAS TRAINING,Algo de responsabilidad,Jornada completa,"Servicios y tecnologías de la información ,Software,Desarrollo de programación",Tecnología de la información,2021-05-18 12:36:40,2021-05-18 12:00:00
