profesion,puestos ofertados
Desarrollador/a de software,6.514
Consultor/a TIC,2.416
Digital project manager,1.925
Administrador/a de sistemas,1.746
Desarrollador/a full stack,1.347
Profesional técnico TIC,1.336
Desarrollador/a frontend,1.233
Desarrollador/a backend,946
QA tester,943
Arquitecto/a de software,824
Diseñador/a o administrador/a de bases de datos,686
Desarrollador/a móvil,569
Ingeniero/a devops,531
Analista de datos / BI,517
Ingeniero/a de datos,443
Especialista en ciberseguridad,394
Digital product manager,371
Desarrollador/a web y multimedia,341
Community manager,341
Ingeniero/a de redes,306
Especialista en marketing digital,281
Diseñador/a gráfico,120
Científico/a de datos,118
Especialista en cloud computing,111
Especialista e-commerce,79
Mostrar top 10,"Fuente: Infojobs, tecnoempleo.com y TicJob · Jul 2023–Oct 2023"
